date,clicks
3/2/2020,31451
3/3/2020,30945
3/4/2020,31029
3/5/2020,30604
3/6/2020,30446
3/7/2020,30748
3/8/2020,25259
3/9/2020,31080
3/10/2020,30375
3/11/2020,27768
3/12/2020,23818
3/13/2020,23903
3/14/2020,25225
3/15/2020,20382
3/16/2020,21400
3/17/2020,21364
3/18/2020,21044
3/19/2020,21480
3/20/2020,21595
3/21/2020,22801
3/22/2020,18935
3/23/2020,22483
3/24/2020,23009
3/25/2020,23937
3/26/2020,23892
3/27/2020,25124
3/28/2020,25476
3/29/2020,21295
3/30/2020,23294
3/31/2020,22577
4/1/2020,22068
4/2/2020,22662
4/3/2020,22844
4/4/2020,23899
4/5/2020,19526
4/6/2020,25172
4/7/2020,25026
4/8/2020,28349
4/9/2020,28249
4/10/2020,27973
4/11/2020,27938
4/12/2020,22093
4/13/2020,29755
4/14/2020,29956
4/15/2020,31800
4/16/2020,32312
4/17/2020,34064
4/18/2020,34353
4/19/2020,27763
4/20/2020,33068
4/21/2020,32855
4/22/2020,33731
4/23/2020,34374
4/24/2020,33263
4/25/2020,33479
4/26/2020,28467
4/27/2020,36187
4/28/2020,34465
4/29/2020,34350
4/30/2020,34233
5/1/2020,34302
5/2/2020,35883
5/3/2020,30380
5/4/2020,37215
5/5/2020,34333
5/6/2020,35173
5/7/2020,34824
5/8/2020,36936
5/9/2020,35687
5/10/2020,29436
5/11/2020,39017
5/12/2020,38961
5/13/2020,39408
5/14/2020,38975
5/15/2020,40737
5/16/2020,42056
5/17/2020,35757
5/18/2020,42808
5/19/2020,42005
5/20/2020,41839
5/21/2020,43211
5/22/2020,45259
5/23/2020,46381
5/24/2020,40256
5/25/2020,46614
5/26/2020,45825
5/27/2020,44254
5/28/2020,44319
5/29/2020,43293
5/30/2020,41210
5/31/2020,33824
6/1/2020,38577
6/2/2020,38762
6/3/2020,40063
6/4/2020,40574
6/5/2020,41930
6/6/2020,42714
6/7/2020,36862
6/8/2020,46803
6/9/2020,43222
6/10/2020,42815
6/11/2020,41584
6/12/2020,42173
6/13/2020,42811
6/14/2020,37444
6/15/2020,45363
6/16/2020,42580
6/17/2020,41705
6/18/2020,41154
6/19/2020,41058
6/20/2020,41400
6/21/2020,34297
6/22/2020,44293
6/23/2020,42731
6/24/2020,42793
6/25/2020,42380
6/26/2020,42458
6/27/2020,42979
6/28/2020,37783
6/29/2020,44379
6/30/2020,42325
7/1/2020,41457
7/2/2020,40966
7/3/2020,41776
7/4/2020,32847
7/5/2020,34256
7/6/2020,42559
7/7/2020,40424
7/8/2020,40009
7/9/2020,39171
7/10/2020,40063
7/11/2020,40267
7/12/2020,34732
7/13/2020,41835
7/14/2020,40724
7/15/2020,39151
7/16/2020,39704
7/17/2020,40540
7/18/2020,41151
7/19/2020,35140
7/20/2020,41824
7/21/2020,41051
7/22/2020,40773
7/23/2020,39911
7/24/2020,41151
7/25/2020,41793
7/26/2020,36012
7/27/2020,43315
7/28/2020,41353
7/29/2020,40725
7/30/2020,39990
7/31/2020,39380
8/1/2020,39606
8/2/2020,35107
8/3/2020,41509
8/4/2020,39727
8/5/2020,39114
8/6/2020,39123
8/7/2020,39701
8/8/2020,40173
8/9/2020,35087
8/10/2020,41346
8/11/2020,40106
8/12/2020,40023
